Date,Open,High,Low,Close,Adj Close,Volume,SP500_Return,SP500_Return_Squared
2018-10-29,268.79998779296875,270.25,259.8500061035156,263.8599853515625,242.73291015625,160749100,-0.005540275487492807,3.069465247731366e-05
2018-10-30,263.6700134277344,268.1199951171875,263.1199951171875,267.7699890136719,246.329833984375,157116000,0.01481847903879685,0.0002195873210232616
2018-10-31,270.6499938964844,273.2300109863281,270.1199951171875,270.6300048828125,248.96084594726562,128296300,0.010680867858550824,0.00011408093821182407
2018-11-01,271.6000061035156,273.7300109863281,270.3800048828125,273.510009765625,251.61029052734375,99495000,0.010641853567048498,0.00011324904734250284
2018-11-02,274.75,275.2300109863281,269.5899963378906,271.8900146484375,250.11993408203125,122634100,-0.005922982923278419,3.508172670944777e-05
2018-11-05,272.44000244140625,274.010009765625,271.3500061035156,273.3900146484375,251.4998779296875,65622500,0.0055169366993470526,3.043659054460235e-05
2018-11-06,273.32000732421875,275.29998779296875,273.25,275.1199951171875,253.09129333496094,60085900,0.006327884619248714,4.004212375452444e-05
2018-11-07,277.55999755859375,281.1000061035156,277.0799865722656,281.010009765625,258.5097351074219,102752100,0.02140889340278096,0.0004583407167316381
2018-11-08,280.1099853515625,281.2200012207031,279.2200012207031,280.5,258.0406188964844,65584900,-0.0018149167214732698,3.293922705883282e-06
2018-11-09,279.0299987792969,279.239990234375,276.17999267578125,277.760009765625,255.5199737548828,98812600,-0.009768236129679142,9.541843708516895e-05
2018-11-12,277.19000244140625,277.4599914550781,271.989990234375,272.57000732421875,250.74546813964844,99673600,-0.018685203985215892,0.00034913684796912786
2018-11-13,273.0899963378906,275.3299865722656,271.25,272.05999755859375,250.27630615234375,98176600,-0.0018711147665574357,3.501070469629287e-06
2018-11-14,274.1600036621094,274.6099853515625,268.45001220703125,270.20001220703125,248.56521606445312,125335900,-0.006836673411209304,4.674010333153626e-05
2018-11-15,268.7799987792969,273.5400085449219,267.010009765625,273.0199890136719,251.15951538085938,135101400,0.010436627236270812,0.00010892318806886974
2018-11-16,271.7900085449219,274.75,271.2099914550781,273.7300109863281,251.8126678466797,126668000,0.0026006226695023393,6.763238269129474e-06
2018-11-19,273.04998779296875,273.3800048828125,268.07000732421875,269.1000061035156,247.55335998535156,103061700,-0.016914494929252566,0.00028610013871171075
2018-11-20,265.3599853515625,267.0,263.1499938964844,264.1199951171875,242.9720458984375,136021300,-0.018506171956058748,0.0003424784004672153
2018-11-21,265.8599853515625,267.1499938964844,265.010009765625,265.0199890136719,243.79998779296875,75563700,0.003407518980473423,1.1611185602286635e-05
2018-11-23,263.17999267578125,264.82000732421875,263.07000732421875,263.25,242.1717529296875,42807900,-0.006678700049227437,4.460503434755057e-05
2018-11-26,265.7799987792969,267.75,265.3399963378906,267.5,246.08145141601562,79981400,0.01614434947768273,0.0002606400200575546
2018-11-27,266.3399963378906,268.3999938964844,265.6600036621094,268.3999938964844,246.90940856933594,75502400,0.0033644631644276224,1.1319612384790331e-05
2018-11-28,269.6000061035156,274.5799865722656,268.3299865722656,274.5799865722656,252.5945587158203,127629600,0.02302530855557583,0.0005301648340794735
2018-11-29,273.7099914550781,275.54998779296875,272.42999267578125,273.9800109863281,252.04269409179688,82346400,-0.0021850667028844306,4.774516496054237e-06
